date,daily_return,universe,method,growth_of_1
2021-01-04,-0.013701064199660173,Equity,Equal-weight (1/N),0.9862989358003398
2021-01-05,0.0126744086048111,Equity,Equal-weight (1/N),0.9987996915191637
2021-01-06,0.013264430714510786,Equity,Equal-weight (1/N),1.0120482008249945
2021-01-07,0.009679796812702805,Equity,Equal-weight (1/N),1.0218446217736417
2021-01-08,0.0028657693620504194,Equity,Equal-weight (1/N),1.0247729927834965
2021-01-11,-8.80664774170858e-05,Equity,Equal-weight (1/N),1.02468274463587
2021-01-12,0.0030128435744148853,Equity,Equal-weight (1/N),1.0277699534588598
2021-01-13,8.709165777320014e-05,Equity,Equal-weight (1/N),1.027859463647916
2021-01-14,0.003088648294878556,Equity,Equal-weight (1/N),1.0310341600276869
2021-01-15,-0.010835450462099152,Equity,Equal-weight (1/N),1.019862440461975
2021-01-19,0.007283796632033231,Equity,Equal-weight (1/N),1.027290911070949
2021-01-20,0.007972222095949888,Equity,Equal-weight (1/N),1.0354807023711574
2021-01-21,-0.0073548730751404785,Equity,Equal-weight (1/N),1.0278648732334603
2021-01-22,-0.002800837129231694,Equity,Equal-weight (1/N),1.024985991132675
2021-01-25,0.0019324605381932176,Equity,Equal-weight (1/N),1.0269667361127397
2021-01-26,-0.005039220682649916,Equity,Equal-weight (1/N),1.0217916240957268
2021-01-27,-0.025815778404221383,Equity,Equal-weight (1/N),0.9954132779527821
2021-01-28,0.01064321496244821,Equity,Equal-weight (1/N),1.0060076754465088
2021-01-29,-0.014793783126670654,Equity,Equal-weight (1/N),0.9911250160721871
2021-02-01,0.008517686014717245,Equity,Equal-weight (1/N),0.9995671077604215
2021-02-02,0.017473889706152913,Equity,Equal-weight (1/N),1.0170334331553252
2021-02-03,0.0019027846101926842,Equity,Equal-weight (1/N),1.0189686287199846
2021-02-04,0.009138734300265699,Equity,Equal-weight (1/N),1.0282807122781628
2021-02-05,0.006317001689045646,Equity,Equal-weight (1/N),1.0347763632744371
2021-02-08,0.013036997474039047,Equity,Equal-weight (1/N),1.0482667401086412
2021-02-09,-0.0027438667563593534,Equity,Equal-weight (1/N),1.0453904358486599
2021-02-10,0.0014557026145883062,Equity,Equal-weight (1/N),1.0469122134393904
2021-02-11,-0.0010303835566598915,Equity,Equal-weight (1/N),1.0458334923093962
2021-02-12,0.004467629428637084,Equity,Equal-weight (1/N),1.0505058887970917
2021-02-16,0.0005560289992204661,Equity,Equal-weight (1/N),1.0510900005351147
2021-02-17,0.0024700316784707663,Equity,Equal-weight (1/N),1.0536862261333602
2021-02-18,-0.005919355778125211,Equity,Equal-weight (1/N),1.0474490824823668
2021-02-19,0.001105859589565558,Equity,Equal-weight (1/N),1.0486074140948116
2021-02-22,0.002141918707192057,Equity,Equal-weight (1/N),1.0508534459315615
2021-02-23,0.000247470338147796,Equity,Equal-weight (1/N),1.0511135009891701
2021-02-24,0.014576435503532874,Equity,Equal-weight (1/N),1.0664349891432314
2021-02-25,-0.01836489981146577,Equity,Equal-weight (1/N),1.0468500174121744
2021-02-26,-0.012928311779984639,Equity,Equal-weight (1/N),1.0333160140001876
2021-03-01,0.019963326496913746,Equity,Equal-weight (1/N),1.0539444389621628
2021-03-02,-0.0027913416635460355,Equity,Equal-weight (1/N),1.051002519938625
2021-03-03,-0.007037085444928407,Equity,Equal-weight (1/N),1.0436065254029818
2021-03-04,-0.007899217627752647,Equity,Equal-weight (1/N),1.0353628503410808
2021-03-05,0.01758076899676969,Equity,Equal-weight (1/N),1.0535653254407644
2021-03-08,0.001820458219155075,Equity,Equal-weight (1/N),1.0554832970968797
2021-03-09,0.007318624501726557,Equity,Equal-weight (1/N),1.063207983016176
2021-03-10,0.009821255768227675,Equity,Equal-weight (1/N),1.0736500205521993
2021-03-11,0.005296440739070045,Equity,Equal-weight (1/N),1.0793365442605554
2021-03-12,0.00708239241784035,Equity,Equal-weight (1/N),1.0869808292179242
2021-03-15,0.0058419800122469865,Equity,Equal-weight (1/N),1.093330949495911
2021-03-16,-0.00020791992646235606,Equity,Equal-weight (1/N),1.0931036242052927
2021-03-17,0.0021785532396102272,Equity,Equal-weight (1/N),1.0954850086470347
2021-03-18,-0.013475213399477713,Equity,Equal-weight (1/N),1.0807231143795872
2021-03-19,-0.004686513277944672,Equity,Equal-weight (1/N),1.0756582911542656
2021-03-22,0.005873122338467335,Equity,Equal-weight (1/N),1.0819757638926013
2021-03-23,-0.008100983457706054,Equity,Equal-weight (1/N),1.0732106961276684
2021-03-24,-0.0033054256888003066,Equity,Equal-weight (1/N),1.0696632779231927
2021-03-25,0.007122806063378113,Equity,Equal-weight (1/N),1.077282282004957
2021-03-26,0.019635042704920367,Equity,Equal-weight (1/N),1.0984347656173783
2021-03-29,0.0011022909356362281,Equity,Equal-weight (1/N),1.099645560302906
2021-03-30,-0.0033269240650195763,Equity,Equal-weight (1/N),1.0959871230253424
2021-03-31,-0.0009145486313490037,Equity,Equal-weight (1/N),1.0949847895020035
2021-04-01,0.011919235422437892,Equity,Equal-weight (1/N),1.1080361709920665
2021-04-05,0.005203894475596217,Equity,Equal-weight (1/N),1.113802274301053
2021-04-06,0.0003117814222571484,Equity,Equal-weight (1/N),1.1141495371582477
2021-04-07,-0.000984327907634916,Equity,Equal-weight (1/N),1.1130528486755442
2021-04-08,-0.001258986754240536,Equity,Equal-weight (1/N),1.111651529882292
2021-04-09,0.0025702524318600957,Equity,Equal-weight (1/N),1.114508754930353
2021-04-12,-0.0004073299999306989,Equity,Equal-weight (1/N),1.1140547820792845
2021-04-13,0.0017323719424837138,Equity,Equal-weight (1/N),1.1159847393261486
2021-04-14,0.003358111298977,Equity,Equal-weight (1/N),1.1197323402887656
2021-04-15,0.009449393897939471,Equity,Equal-weight (1/N),1.1303131322324156
2021-04-16,0.002841443813238708,Equity,Equal-weight (1/N),1.1335248534890199
