total_return,ann_return,ann_vol,sharpe,sortino,var_95,es_95,max_drawdown,n_obs,start,end,initial_turnover,avg_rebalance_turnover,total_turnover,total_tx_cost,universe,method,tx_cost_bps
0.4272,0.1264,0.1612,0.82,1.18,0.0162,0.0223,-0.2025,753,2021-01-04,2023-12-29,1.0,0.05447856382476047,2.906749733866617,0.0,Equity,Equal-weight (1/N),0
0.2214,0.0692,0.1275,0.59,0.84,0.0128,0.0172,-0.1799,753,2021-01-04,2023-12-29,1.0,0.061212125360141534,3.142424387604953,0.0,Equity,Minimum-variance,0
0.4704,0.1377,0.2366,0.66,0.99,0.0226,0.0315,-0.3767,753,2021-01-04,2023-12-29,1.0,0.27241986058818857,10.5346951205866,0.0,Equity,Max-Sharpe (tangency),0
0.332,0.1007,0.1493,0.72,1.03,0.0156,0.0208,-0.194,753,2021-01-04,2023-12-29,1.0,0.05155661420815054,2.8044814972852694,0.0,Equity,Risk parity,0
0.4231,0.1253,0.1612,0.81,1.17,0.0162,0.0223,-0.2028,753,2021-01-04,2023-12-29,1.0,0.05447856382476047,2.906749733866617,0.0029067497338666165,Equity,Equal-weight (1/N),10
0.2176,0.0681,0.1274,0.58,0.83,0.0128,0.0172,-0.1803,753,2021-01-04,2023-12-29,1.0,0.061212125360141534,3.142424387604953,0.003142424387604953,Equity,Minimum-variance,10
0.4551,0.1337,0.2365,0.65,0.96,0.0226,0.0315,-0.3777,753,2021-01-04,2023-12-29,1.0,0.27241986058818857,10.5346951205866,0.0105346951205866,Equity,Max-Sharpe (tangency),10
0.3283,0.0997,0.1493,0.71,1.02,0.0156,0.0208,-0.1942,753,2021-01-04,2023-12-29,1.0,0.05155661420815054,2.8044814972852694,0.0028044814972852695,Equity,Risk parity,10
1.7738,0.405,0.8189,0.83,1.19,0.0676,0.1001,-0.8157,1095,2021-01-01,2023-12-31,1.0,0.11898817631818266,5.164586171136393,0.0,Crypto,Equal-weight (1/N),0
1.0561,0.2716,0.6519,0.7,1.02,0.0534,0.0798,-0.7556,1095,2021-01-01,2023-12-31,1.0,0.047270363872171164,2.654462735525991,0.0,Crypto,Minimum-variance,0
0.4078,0.1208,0.7936,0.54,0.77,0.0638,0.0965,-0.8507,1095,2021-01-01,2023-12-31,1.0,0.1359693372142315,5.758926802498103,0.0,Crypto,Max-Sharpe (tangency),0
1.8506,0.4179,0.8026,0.84,1.21,0.066,0.0984,-0.8047,1095,2021-01-01,2023-12-31,0.9999999999999998,0.1199669385926281,5.1988428507419835,0.0,Crypto,Risk parity,0
1.7596,0.4027,0.8189,0.83,1.19,0.0676,0.1001,-0.8161,1095,2021-01-01,2023-12-31,1.0,0.11898817631818266,5.164586171136393,0.005164586171136393,Crypto,Equal-weight (1/N),10
1.0507,0.2705,0.6519,0.69,1.01,0.0534,0.0798,-0.7557,1095,2021-01-01,2023-12-31,1.0,0.047270363872171164,2.654462735525991,0.002654462735525991,Crypto,Minimum-variance,10
0.3998,0.1186,0.7935,0.54,0.77,0.0638,0.0965,-0.8509,1095,2021-01-01,2023-12-31,1.0,0.1359693372142315,5.758926802498103,0.005758926802498105,Crypto,Max-Sharpe (tangency),10
1.8359,0.4155,0.8026,0.84,1.2,0.066,0.0984,-0.8051,1095,2021-01-01,2023-12-31,0.9999999999999998,0.1199669385926281,5.1988428507419835,0.005198842850741983,Crypto,Risk parity,10
0.5237,0.1514,0.216,0.76,1.08,0.0208,0.0316,-0.2787,753,2021-01-04,2023-12-29,1.0,0.07714559937634442,3.7000959781720546,0.0,Combined,Equal-weight (1/N),0
0.2214,0.0692,0.1275,0.59,0.84,0.0128,0.0172,-0.1799,753,2021-01-04,2023-12-29,1.0,0.0612198523561376,3.142694832464815,0.0,Combined,Minimum-variance,0
0.2631,0.0813,0.349,0.4,0.58,0.0348,0.0505,-0.521,753,2021-01-04,2023-12-29,0.9999999999999999,0.3085035333074058,11.797623665759206,0.0,Combined,Max-Sharpe (tangency),0
0.4328,0.1279,0.1744,0.78,1.11,0.0173,0.0252,-0.2238,753,2021-01-04,2023-12-29,1.0,0.0647817755373876,3.267362143808567,0.0,Combined,Risk parity,0
0.5181,0.1499,0.216,0.76,1.07,0.0208,0.0316,-0.2793,753,2021-01-04,2023-12-29,1.0,0.07714559937634442,3.7000959781720546,0.0037000959781720547,Combined,Equal-weight (1/N),10
0.2176,0.0681,0.1274,0.58,0.83,0.0128,0.0172,-0.1803,753,2021-01-04,2023-12-29,1.0,0.0612198523561376,3.142694832464815,0.003142694832464815,Combined,Minimum-variance,10
0.2484,0.0771,0.3489,0.39,0.56,0.0348,0.0505,-0.5228,753,2021-01-04,2023-12-29,0.9999999999999999,0.3085035333074058,11.797623665759206,0.011797623665759205,Combined,Max-Sharpe (tangency),10
0.4281,0.1267,0.1744,0.77,1.1,0.0173,0.0252,-0.2242,753,2021-01-04,2023-12-29,1.0,0.0647817755373876,3.267362143808567,0.003267362143808566,Combined,Risk parity,10
0.2214,0.0692,0.1275,0.59,0.84,0.0128,0.0172,-0.1799,753,2021-01-04,2023-12-29,,,,,Equity,MinVar (base),0
0.1654,0.0526,0.1277,0.46,0.66,0.0133,0.0173,-0.1899,753,2021-01-04,2023-12-29,,,,,Equity,MinVar + sentiment,0
