,,ann_return,ann_return,ann_vol,ann_vol,max_drawdown,max_drawdown,sharpe,sharpe
tx_cost_bps,,0,10,0,10,0,10,0,10
universe,method,,,,,,,,
Combined,Equal-weight (1/N),0.1514,0.1499,0.216,0.216,-0.2787,-0.2793,0.76,0.76
Combined,Max-Sharpe (tangency),0.0813,0.0771,0.349,0.3489,-0.521,-0.5228,0.4,0.39
Combined,Minimum-variance,0.0692,0.0681,0.1275,0.1274,-0.1799,-0.1803,0.59,0.58
Combined,Risk parity,0.1279,0.1267,0.1744,0.1744,-0.2238,-0.2242,0.78,0.77
Crypto,Equal-weight (1/N),0.405,0.4027,0.8189,0.8189,-0.8157,-0.8161,0.83,0.83
Crypto,Max-Sharpe (tangency),0.1208,0.1186,0.7936,0.7935,-0.8507,-0.8509,0.54,0.54
Crypto,Minimum-variance,0.2716,0.2705,0.6519,0.6519,-0.7556,-0.7557,0.7,0.69
Crypto,Risk parity,0.4179,0.4155,0.8026,0.8026,-0.8047,-0.8051,0.84,0.84
Equity,Equal-weight (1/N),0.1264,0.1253,0.1612,0.1612,-0.2025,-0.2028,0.82,0.81
Equity,Max-Sharpe (tangency),0.1377,0.1337,0.2366,0.2365,-0.3767,-0.3777,0.66,0.65
Equity,Minimum-variance,0.0692,0.0681,0.1275,0.1274,-0.1799,-0.1803,0.59,0.58
Equity,Risk parity,0.1007,0.0997,0.1493,0.1493,-0.194,-0.1942,0.72,0.71
